Judul;Penjabaran Anggaran Pendapatan Belanja Daerah;;;;;
1.01 . 1.01.02 . 17.86 . 5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;1.000.000,00;0;-1.000.000,00;-100;Honor pejabat pembuat komitmen1 org x 0,00 = 0,00
1.01 . 1.01.02 . 17.86 . 5.2.1.02 ;Honorarium Non PNS ;557.760.000,00;0;-557.760.000,00;-100;
1.01 . 1.01.02 . 17.86 . 5.2.1.02.02 ;Honorarium Pegawai Honorer/Tidak Tetap ;557.760.000,00;0;-557.760.000,00;-100;Honorarium harianUpah pekerja bangunan dan pekerja perabot pembangunan  perpustakaan SMK (DAK)
1.01 . 1.01.02 . 17.86 . 5.2.2 ;Belanja Barang dan Jasa ;894.227.500,00;11.687.500,00;-882.540.000,00;-98,69;
1.01 . 1.01.02 . 17.86 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;600.000,00;600.000,00;0;0;
1.01 . 1.01.02 . 17.86 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;600.000,00;600.000,00;0;0;Belanja ATKBelanaja ATK1 keg x 600.000,00 = 600.000,00
1.01 . 1.01.02 . 17.86 . 5.2.2.02 ;Belanja Bahan/Material ;836.640.000,00;0;-836.640.000,00;-100;
1.01 . 1.01.02 . 17.86 . 5.2.2.02.01 ;Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi;836.640.000,00;0;-836.640.000,00;-100;"Belanja bahan bangunan dan bahan perabot (DAK)
Belanja bahan bangunan dan bahan perabot pembangunan perpustakaan SMK (DAK)"
1.01 . 1.01.02 . 17.86 . 5.2.2.03 ;Belanja Jasa Kantor ;200.000,00;200.000,00;0;0;
1.01 . 1.01.02 . 17.86 . 5.2.2.03.13 ;Belanja Dokumentasi ;200.000,00;200.000,00;0;0;Belanja dokumentasi1 keg x 200.000,00 = 200.000,00
1.01 . 1.01.02 . 17.86 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;312.500,00;312.500,00;0;0;
1.01 . 1.01.02 . 17.86 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;312.500,00;312.500,00;0;0;"Belanja penggadaan/fotocopy
Belanja penggandaan/fotocopy2,500 lbr x 125,00 = 312.500,00"
1.01 . 1.01.02 . 17.86 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;6.125.000,00;6.125.000,00;0;0;
1.01 . 1.01.02 . 17.86 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;2.625.000,00;2.625.000,00;0;0;Belanja makanan dan minuman rapat150 org x 17.500,00 = 2.625.000,00
1.01 . 1.01.02 . 17.86 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;3.500.000,00;3.500.000,00;0;0;"Belanja makanan dan minuman kegiatan
Belanja makanan dan minuman kegiatan/ sosialisasi200 org x 17.500,00 = 3.500.000,00"
1.01 . 1.01.02 . 17.86 . 5.2.2.15 ;Belanja Perjalanan Dinas ;10.850.000,00;4.450.000,00;-6.400.000,00;-58,99;
1.01 . 1.01.02 . 17.86 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;6.350.000,00;2.950.000,00;-3.400.000,00;-53,54;"Belanja perjalanan dinas dalam daerahGolongan 430 org x 50.000,00 = 1.500.000,00
Golongan 325 org x 40.000,00 = 1.000.000,00
Golongan 215 org x 30.000,00 = 450.000,00"
1.01 . 1.01.02 . 17.86 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;4.500.000,00;1.500.000,00;-3.000.000,00;-66,67;Belanja perjalanan dinas luar daerahGolongan 3 dan atau 41 org/tim x 1.500.000,00 = 1.500.000,00
1.01 . 1.01.02 . 17.86 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;39.500.000,00;0;-39.500.000,00;-100;
1.01 . 1.01.02 . 17.86 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;39.500.000,00;0;-39.500.000,00;-100;"Honor narasumber sosialisasi10 org x 0,00 = 0,00
Honor moderator10 org x 0,00 = 0,00
Honor tenaga ahli
Honor perencana bangunan16 org x 0,00 = 0,00
Honor tim teknis/pengawas bangunan16 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.86 . 5.2.3 ;Belanja Modal ;191.400.000,00;191.400.000,00;0;0;
1.01 . 1.01.02 . 17.86 . 5.2.3.11 ;Belanja Modal Pengadaan Perlengkapan Kantor ;0;78.000.000,00;78.000.000,00;0;
1.01 . 1.01.02 . 17.86 . 5.2.3.11.13 ;Belanja modal pengadan televisi ;0;78.000.000,00;78.000.000,00;0;"Belanja pengadaan TV untuk perpustakaan
Pengadaan TV untuk perpustakaan13 paket x 6.000.000,00 = 78.000.000,00"
1.01 . 1.01.02 . 17.86 . 5.2.3.12 ;Belanja Modal Pengadaan Komputer ;0;78.000.000,00;78.000.000,00;0;
1.01 . 1.01.02 . 17.86 . 5.2.3.12.02 ;Belanja Modal Pengadaan Komputer/PC ;0;78.000.000,00;78.000.000,00;0;"Belanja komputer untuk perpustakaan
Pengadaan komputer untuk perpustakaan13 unit x 6.000.000,00 = 78.000.000,00"
1.01 . 1.01.02 . 17.86 . 5.2.3.13 ;Belanja Modal Pengadaan Mebeulair ;191.400.000,00;35.400.000,00;-156.000.000,00;-81,5;
1.01 . 1.01.02 . 17.86 . 5.2.3.13.12 ;Belanja modal pengadaan meubelair ruang perpustakaan;191.400.000,00;35.400.000,00;-156.000.000,00;-81,5;"Belanja modal pengadaan mebeleur, sarana dan prasarana  perpustakaan(DID pengembangan perpustakaan)
Belanja modal pengadaan mebeleur perpustakaan (DID pengembangan perpustakaan)1 paket x 19.000.000,00 = 19.000.000,00
Honor PPK1 org x 500.000,00 = 500.000,00
Honor panitia/pejabat pengadaan1 org x 1.000.000,00 = 1.000.000,00
Honor penerima barang1 org/bjj x 1.250.000,00 = 1.250.000,00
Honor monev (DID)12 org x 250.000,00 = 3.000.000,00
Belanja MMR (DID)150 org x 17.500,00 = 2.625.000,00
Belanja MMK (DID)150 org x 17.500,00 = 2.625.000,00
Perjalanan dinas golongan 430 0rg x 50.000,00 = 1.500.000,00
Perjalanan dinas golongan 330 org x 40.000,00 = 1.200.000,00
Perjalanan dinas golongan 215 org x 30.000,00 = 450.000,00
Honor narasumber sosialisasi (DID)5 org x 300.000,00 = 1.500.000,00
Honor moderator sosialisasi (DID)5 org x 150.000,00 = 750.000,00"
1.01 . 1.01.02 . 17.87 ;Rehabilitasi Sedang/Berat Ruang Kelas Sekolah SMK ;2.467.335.000,00;680.955.000,00;-1.786.380.000,00;-72,4;Sumber Dana : Dana Alokasi Khusus (D A K)
1.01 . 1.01.02 . 17.87 . 5.2.1 ;Belanja Pegawai ;665.010.000,00;2.555.000,00;-662.455.000,00;-99,62;
1.01 . 1.01.02 . 17.87 . 5.2.1.01 ;Honorarium PNS ;17.610.000,00;2.555.000,00;-15.055.000,00;-85,49;
1.01 . 1.01.02 . 17.87 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;16.610.000,00;2.555.000,00;-14.055.000,00;-84,62;"Honor panitia pelaksana kegiatan
Honor Tim Pembina DAK Kabupaten Bantul1 org/bjj x 0,00 = 0,00
Honor panitia pelaksana1 org/bjj x 1.110.000,00 = 1.110.000,00
Honor tim survei1 org/bjj x 350.000,00 = 350.000,00
Honor peneliti SPJ3 org x 15.000,00 = 45.000,00
Honor tim monev7 org x 150.000,00 = 1.050.000,00"
1.01 . 1.01.02 . 17.87 . 5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;1.000.000,00;0;-1.000.000,00;-100;Honor pejabat pembuat komitmen1 org x 0,00 = 0,00
1.01 . 1.01.02 . 17.87 . 5.2.1.02 ;Honorarium Non PNS ;647.400.000,00;0;-647.400.000,00;-100;
1.01 . 1.01.02 . 17.87 . 5.2.1.02.02 ;Honorarium Pegawai Honorer/Tidak Tetap ;647.400.000,00;0;-647.400.000,00;-100;"Honorarium harian
Upah pekerja bangunan dan pekerja perabot rehab rusak berat ruang belajar SMK (DAK)"
1.01 . 1.01.02 . 17.87 . 5.2.2 ;Belanja Barang dan Jasa ;1.110.425.000,00;6.500.000,00;-1.103.925.000,00;-99,41;
1.01 . 1.01.02 . 17.87 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;800.000,00;5.000.000,00;4.200.000,00;525;
1.01 . 1.01.02 . 17.87 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;800.000,00;5.000.000,00;4.200.000,00;525;Belanja ATK1 ls x 5.000.000,00 = 5.000.000,00
1.01 . 1.01.02 . 17.87 . 5.2.2.02 ;Belanja Bahan/Material ;971.100.000,00;0;-971.100.000,00;-100;
1.01 . 1.01.02 . 17.87 . 5.2.2.02.01 ;Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi;971.100.000,00;0;-971.100.000,00;-100;Belanja Bahan Baku untuk Bangunan/ Kegiatan Pelayanan/ Kegiatan OperasiBM Bahan Baku Bangunan
1.01 . 1.01.02 . 17.87 . 5.2.2.03 ;Belanja Jasa Kantor ;200.000,00;0;-200.000,00;-100;
1.01 . 1.01.02 . 17.87 . 5.2.2.03.13 ;Belanja Dokumentasi ;200.000,00;0;-200.000,00;-100;belanja dokumentasi1 keg x 0,00 = 0,00
1.01 . 1.01.02 . 17.87 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;250.000,00;1.500.000,00;1.250.000,00;500;
1.01 . 1.01.02 . 17.87 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;250.000,00;1.500.000,00;1.250.000,00;500;belanja penggandaan/fotocopy10,000 lbr x 150,00 = 1.500.000,00
1.01 . 1.01.02 . 17.87 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;6.475.000,00;0;-6.475.000,00;-100;
1.01 . 1.01.02 . 17.87 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;3.062.500,00;0;-3.062.500,00;-100;"Belanja makan minum rapat
Belanja makan minum rapat (DAK)100 org x 0,00 = 0,00
Belanja MMER75 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.87 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;3.412.500,00;0;-3.412.500,00;-100;"Belanja makan minum kegiatan
belanja makan minum kegiatan/sosialisasi120 org x 0,00 = 0,00
Belanja MMK75 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.87 . 5.2.2.15 ;Belanja Perjalanan Dinas ;10.100.000,00;0;-10.100.000,00;-100;
1.01 . 1.01.02 . 17.87 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;4.700.000,00;0;-4.700.000,00;-100;"Biaya perjalanan dinas dalam daerahGolongan 446 org x 0,00 = 0,00
Golongan 345 org x 0,00 = 0,00
Golongan 220 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.87 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;5.400.000,00;0;-5.400.000,00;-100;Biaya perjalanan dinas luar daerahGolongan 3 dan atau 44 org x 0,00 = 0,00
1.01 . 1.01.02 . 17.87 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;121.500.000,00;0;-121.500.000,00;-100;
1.01 . 1.01.02 . 17.87 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;121.500.000,00;0;-121.500.000,00;-100;"Honor narasumber, perencana dan pengawas bangunan
Honor narasumber sosialisasi10 org x 0,00 = 0,00
Honor moderator sosialisasi10 org x 0,00 = 0,00
Honor perencana bangunan26 paket x 0,00 = 0,00
Honor tim teknis/pengawas bangunan26 paket x 0,00 = 0,00"
1.01 . 1.01.02 . 17.87 . 5.2.3 ;Belanja Modal ;691.900.000,00;671.900.000,00;-20.000.000,00;-2,89;
1.01 . 1.01.02 . 17.87 . 5.2.3.26 ;Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan;691.900.000,00;671.900.000,00;-20.000.000,00;-2,89;
1.01 . 1.01.02 . 17.87 . 5.2.3.26.16 ;Belanja Modal Pengadaan Konstruksi/Pembelian Gedung Pendidikan;691.900.000,00;671.900.000,00;-20.000.000,00;-2,89;"Belanja modal pengadaan Konstruksi/Pembelian Gedung PendidikanRehabilitasi ruang belajar siswa SMKN 1 Bantul (DID)10 paket x 65.000.000,00 = 650.000.000,00
Honor PPK1 org x 1.000.000,00 = 1.000.000,00
Honor panitia pengadaan1 org/bjj x 1.500.000,00 = 1.500.000,00
Honor panitia penerima/pemeriksa barang1 org/bjj x 2.500.000,00 = 2.500.000,00
Honor perencana dan pengawas bangunan2 org x 2.500.000,00 = 5.000.000,00
Honor tim survei dan analisis kerusakan1 org/bjj x 2.500.000,00 = 2.500.000,00
Belanja MMR100 org x 17.500,00 = 1.750.000,00
Belanja MMK100 org x 17.500,00 = 1.750.000,00
Honor narasumber sosialisasi6 org x 300.000,00 = 1.800.000,00
Honor moderator sosialisasi6 org x 150.000,00 = 900.000,00
Perjalanan dinas golongan 435 org x 50.000,00 = 1.750.000,00
Perjalanan dinas golongan 325 org x 40.000,00 = 1.000.000,00
Perjalanan dinas golongan 215 org x 30.000,00 = 450.000,00"
1.01 . 1.01.02 . 17.88 ;Pengadaan Alat Praktik dan Peraga Siswa SMK ;1.737.185.000,00;840.035.000,00;-897.150.000,00;-51,64;Sumber Dana : Dana Alokasi Khusus (D A K)
1.01 . 1.01.02 . 17.88 . 5.2.1 ;Belanja Pegawai ;3.485.000,00;1.060.000,00;-2.425.000,00;-69,58;
1.01 . 1.01.02 . 17.88 . 5.2.1.01 ;Honorarium PNS ;3.485.000,00;1.060.000,00;-2.425.000,00;-69,58;
1.01 . 1.01.02 . 17.88 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;1.060.000,00;1.060.000,00;0;0;Honor panitia pelaksana kegiatan1 org/bjj x 1.060.000,00 = 1.060.000,00
1.01 . 1.01.02 . 17.88 . 5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;2.425.000,00;0;-2.425.000,00;-100;"Honor tim pengadaan barang dan jasa
Honor pejabat pembuat komitmen1 org x 0,00 = 0,00
Honor panitia pengadaan alat laboratorium1 tim/bjj x 0,00 = 0,00
Honor panitia penerima barang pengadaan alat laboratorium1 tim/bjj x 0,00 = 0,00
Honor panitia pengadaan alat praktik siswa1 bjj x 0,00 = 0,00
Honor panitia penerima barang pengadaan alat praktik siswa1 bjj x 0,00 = 0,00"
1.01 . 1.01.02 . 17.88 . 5.2.2 ;Belanja Barang dan Jasa ;408.825.000,00;14.100.000,00;-394.725.000,00;-96,55;
1.01 . 1.01.02 . 17.88 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;700.000,00;1.600.000,00;900.000,00;128,57;
1.01 . 1.01.02 . 17.88 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;700.000,00;1.600.000,00;900.000,00;128,57;Belanja ATK1 keg x 1.600.000,00 = 1.600.000,00
1.01 . 1.01.02 . 17.88 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;125.000,00;4.500.000,00;4.375.000,00;3.500,00;
1.01 . 1.01.02 . 17.88 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;125.000,00;4.500.000,00;4.375.000,00;3.500,00;"Belanja fotocopy
Belanja penggadaan/fotocopy30,000 lbr x 150,00 = 4.500.000,00"
1.01 . 1.01.02 . 17.88 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;3.150.000,00;3.150.000,00;0;0;
1.01 . 1.01.02 . 17.88 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;3.150.000,00;3.150.000,00;0;0;Belanja Makan Minum Rapat180 org x 17.500,00 = 3.150.000,00
1.01 . 1.01.02 . 17.88 . 5.2.2.15 ;Belanja Perjalanan Dinas ;4.850.000,00;4.850.000,00;0;0;
1.01 . 1.01.02 . 17.88 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;800.000,00;800.000,00;0;0;"Belanja perjalanan dinas dalam daerah
Golongan 44 org x 50.000,00 = 200.000,00
Golongan 312 org x 40.000,00 = 480.000,00
Golongan 24 org x 30.000,00 = 120.000,00"
1.01 . 1.01.02 . 17.88 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;4.050.000,00;4.050.000,00;0;0;"Belanja perjalanan dinas luar daerah
Golongan 3 dan atau 43 tim x 1.350.000,00 = 4.050.000,00"
1.01 . 1.01.02 . 17.88 . 5.2.2.23 ;Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga;400.000.000,00;0;-400.000.000,00;-100;
1.01 . 1.01.02 . 17.88 . 5.2.2.23.01 ;Belanja Barang yang akan diserahkan kepada Masyarakat;400.000.000,00;0;-400.000.000,00;-100;"Belanja pengadaan perlatan laboratorium sains (DAK)
Belanja pengadaan peralatan laboratorium biologi bagi SMK swasta (DAK)4 paket x 0,00 = 0,00"
1.01 . 1.01.02 . 17.88 . 5.2.3 ;Belanja Modal ;1.324.875.000,00;824.875.000,00;-500.000.000,00;-37,74;
1.01 . 1.01.02 . 17.88 . 5.2.3.12 ;Belanja Modal Pengadaan Komputer ;765.625.000,00;765.625.000,00;0;0;
1.01 . 1.01.02 . 17.88 . 5.2.3.12.02 ;Belanja Modal Pengadaan Komputer/PC ;765.625.000,00;765.625.000,00;0;0;"Belanja modal pengadaan komputer siswa SMK (DID)100 unit x 7.500.000,00 = 750.000.000,00
Honor PPK komputer1 org x 1.000.000,00 = 1.000.000,00
Honor panitia pengadaan komputer1 tim/bjj x 1.425.000,00 = 1.425.000,00
Honor penerima barang1 tim/bjj x 900.000,00 = 900.000,00
Honor tim ahli komputer1 org x 400.000,00 = 400.000,00
Belanja MMR100 org x 17.500,00 = 1.750.000,00
Belanja MMK100 org x 17.500,00 = 1.750.000,00
Honor narasumebr sosialisasi3 org x 300.000,00 = 900.000,00
Honor moderator sosialisasi3 org x 1.500.000,00 = 4.500.000,00
Perjalanan dinas golongan 430 org x 50.000,00 = 1.500.000,00
Perjalanan dinas golongan 330 org x 40.000,00 = 1.200.000,00
Perjalanan dinas golongan 210 org x 30.000,00 = 300.000,00"
1.01 . 1.01.02 . 17.88 . 5.2.3.20 ;Belanja Modal Pengadaan Alat-Alat Laboratorium ;500.000.000,00;0;-500.000.000,00;-100;
1.01 . 1.01.02 . 17.88 . 5.2.3.20.02 ;Belanja Modal Pengadaan Alat-Alat Laboratorium Fisika/Geologi/Geodesi;200.000.000,00;0;-200.000.000,00;-100;Belanja Modal Alat LabBM Alat Laborat
1.01 . 1.01.02 . 17.88 . 5.2.3.20.08 ;Belanja Modal Pengadaan Alat-Alat Laboratorium Bahasa;100.000.000,00;0;-100.000.000,00;-100;"Belanja Modal Alat Laboratorium Bahasa
BM Alat Lab Bahasa"
1.01 . 1.01.02 . 17.88 . 5.2.3.20.11 ;Belanja modal alat-alat Laboratorium perbengkelan;200.000.000,00;0;-200.000.000,00;-100;"Belanja Modal Alat Lab Perbengkelan
BM Alat Lab Bengkel"
1.01 . 1.01.02 . 17.88 . 5.2.3.37 ;Belanja Modal Pengadaan Alat-alat Olah Raga ;59.250.000,00;59.250.000,00;0;0;
1.01 . 1.01.02 . 17.88 . 5.2.3.37.01 ;Belanja modal alat-alat olah raga ;59.250.000,00;59.250.000,00;0;0;"Belanja modal pengadaan alat-alat olahraga siswa SMK (DID)1 paket x 50.000.000,00 = 50.000.000,00
Honor PPK1 org x 350.000,00 = 350.000,00
Honor pejabat pengadaan1 org x 300.000,00 = 300.000,00
Honor penerima barang1 org/bjj x 750.000,00 = 750.000,00
Belanja MMR100 org x 17.500,00 = 1.750.000,00
Perjalanan dinas golongan 430 org x 50.000,00 = 1.500.000,00
Perjalanan dinas golongan 330 org x 40.000,00 = 1.200.000,00
Perjalanan dinas golongan 210 org x 30.000,00 = 300.000,00
Belanja MMK100 org x 17.500,00 = 1.750.000,00
Honor narasumber sosialisasi3 org x 300.000,00 = 900.000,00
Honor moderator sosialisasi3 org x 150.000,00 = 450.000,00"
1.01 . 1.01.02 . 17.89 ;Pengadaan Buku-Buku dan Alat Tulis Siswa SMK ;1.785.885.000,00;0;-1.785.885.000,00;-100;Sumber Dana : Dana Alokasi Khusus (D A K)
1.01 . 1.01.02 . 17.89 . 5.2.1 ;Belanja Pegawai ;11.360.000,00;0;-11.360.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.1.01 ;Honorarium PNS ;11.360.000,00;0;-11.360.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;2.360.000,00;0;-2.360.000,00;-100;"Honorarium pelaksana kegiatan
Honorarium panitia pelaksana kegiatan1 org/bjj x 0,00 = 0,00
Honorarium tim monitoring dan evaluasi7 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.89 . 5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;9.000.000,00;0;-9.000.000,00;-100;"Honorarium tim pengadaan barang/jasa
Honorarium pejabat pembuat komitmen1 org x 0,00 = 0,00
Honorarium panitia pengadaan1 org/bjj x 0,00 = 0,00
Honorarium penerima barang1 org/bjj x 0,00 = 0,00
Honor tim teknis buku1 org/bjj x 0,00 = 0,00"
1.01 . 1.01.02 . 17.89 . 5.2.2 ;Belanja Barang dan Jasa ;74.525.000,00;0;-74.525.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;850.000,00;0;-850.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;850.000,00;0;-850.000,00;-100;Belanja ATK1 keg x 0,00 = 0,00
1.01 . 1.01.02 . 17.89 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;300.000,00;0;-300.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;300.000,00;0;-300.000,00;-100;"Belanja penggadaan/fotiocopy
Belanja penggandaan/fotocopy2,000 lbr x 0,00 = 0,00"
1.01 . 1.01.02 . 17.89 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;9.625.000,00;0;-9.625.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;2.625.000,00;0;-2.625.000,00;-100;Belanja makanan dan minuman rapat150 org x 0,00 = 0,00
1.01 . 1.01.02 . 17.89 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;7.000.000,00;0;-7.000.000,00;-100;"Belanja makanan dan minuman kegiatan
Belanja makanan dan minuman kegiatan/ sosialisasi400 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.89 . 5.2.2.15 ;Belanja Perjalanan Dinas ;13.750.000,00;0;-13.750.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;4.750.000,00;0;-4.750.000,00;-100;"Belanja perjalanan dinas dalam daerah
Golongan 440 org x 0,00 = 0,00
Golongan 350 org x 0,00 = 0,00
Golongan 225 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.89 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;9.000.000,00;0;-9.000.000,00;-100;"Biaya perjalanan dinas luar daerah
Golongan 3 dan atau 46 tim x 0,00 = 0,00"
1.01 . 1.01.02 . 17.89 . 5.2.2.23 ;Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga;50.000.000,00;0;-50.000.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.2.23.02 ;Belanja Barang yang akan diserahkan kepada Pihak ketiga;50.000.000,00;0;-50.000.000,00;-100;"Belanja barang yang akan diserahkan kepada sekolah
Pengadaan buku kurikulum 2013 untuk siswa4,900 paket x 0,00 = 0,00
Pengadaan buku pegangan guru kurikulum 2013 untuk SMK Swasta1,800 buah x 0,00 = 0,00"
1.01 . 1.01.02 . 17.89 . 5.2.3 ;Belanja Modal ;1.700.000.000,00;0;-1.700.000.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.3.27 ;Belanja Modal Pengadaan Buku/Kepustakaan ;1.700.000.000,00;0;-1.700.000.000,00;-100;
1.01 . 1.01.02 . 17.89 . 5.2.3.27.22 ;Belanja Modal Pengadaan Buku Naskah ;1.700.000.000,00;0;-1.700.000.000,00;-100;"Belanja modal pengadaan buku naskah kurikulum 2013 SMK (DAK)
Pengadaan buku kurikulum 2013 untuk siswa6,000 paket x 0,00 = 0,00
Buku pegangan guru kurikulum 2013769 buah x 0,00 = 0,00
sisa pengadaan buku kurikulum 20131 buah x 0,00 = 0,00"
1.01 . 1.01.02 . 17.92 ;Penyelenggaraan Sekolah Adiwiyata ;404.837.500,00;0;-404.837.500,00;-100;"Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 17.92 . 5.2.1 ;Belanja Pegawai ;750.000,00;0;-750.000,00;-100;
1.01 . 1.01.02 . 17.92 . 5.2.1.01 ;Honorarium PNS ;750.000,00;0;-750.000,00;-100;
1.01 . 1.01.02 . 17.92 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;750.000,00;0;-750.000,00;-100;Honor panitia pelaksana kegiatan
1.01 . 1.01.02 . 17.92 . 5.2.2 ;Belanja Barang dan Jasa ;404.087.500,00;0;-404.087.500,00;-100;
1.01 . 1.01.02 . 17.92 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;250.000,00;0;-250.000,00;-100;
1.01 . 1.01.02 . 17.92 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;250.000,00;0;-250.000,00;-100;Belanja ATK
1.01 . 1.01.02 . 17.92 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;1.137.500,00;0;-1.137.500,00;-100;
1.01 . 1.01.02 . 17.92 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;350.000,00;0;-350.000,00;-100;Belanja makan minum rapat
1.01 . 1.01.02 . 17.92 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;787.500,00;0;-787.500,00;-100;"Belanja makan minum kegiatan
Belanja makan minum kegiatan sosialisasi"
1.01 . 1.01.02 . 17.92 . 5.2.2.15 ;Belanja Perjalanan Dinas ;900.000,00;0;-900.000,00;-100;
1.01 . 1.01.02 . 17.92 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;900.000,00;0;-900.000,00;-100;Belanja perjalanan dinas dalam daerahGolongan 4Golongan 3
1.01 . 1.01.02 . 17.92 . 5.2.2.30 ;Belanja Operasional Pendidikan ;400.000.000,00;0;-400.000.000,00;-100;
1.01 . 1.01.02 . 17.92 . 5.2.2.30.05 ;Belanja Operasional Pendidikan SMA/SMK ;400.000.000,00;0;-400.000.000,00;-100;"Belanja operasional pelaksanaan sekolah adiwiyata
Belanja oprasional pelaksanaan sekolah adiwiyata"
1.01 . 1.01.02 . 17.92 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;1.800.000,00;0;-1.800.000,00;-100;
1.01 . 1.01.02 . 17.92 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;1.800.000,00;0;-1.800.000,00;-100;"Honor narasumber sosialisasi
Honor moderator"
1.01 . 1.01.02 . 17.93 ;Pengembangan dan Seleksi UKS SMA ;856.375.000,00;724.150.000,00;-132.225.000,00;-15,44;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
