Judul,PENJABARAN APenjabaran Anggaran Pendaptan dan Belanja DaerahPBD,,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2000000,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2000000,"APBD
 Belanja PenggandaanFoto copy1 ls x 2.000.000,00 = 2.000.000,00"
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,3562500,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,3562500,"APBD 
Belanja makanan dan minuman rapat
Rapat sosialisasi jamkesda tingkat Kabupaten50 or x 28.500,00 = 1.425.000,00
Rapat evaluasi TK Kabupaten (25 or x 3 x Rp 28.500,-)75 or x 28.500,00 = 2.137.500,00"
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,3600000,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,3600000,"APBD
 Belanja perjalanan dinas dari kabupaten ke propinsiGol. IV (4 or x 9 x 70.000,-)36 oh x 70.000,00 = 2.520.000,00
Gol. III (2 or x 9 x 60.000,-)18 oh x 60.000,00 = 1.080.000,00"
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,3000000,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 20 . 08,Belanja Pemeliharaan Aplikasi dan DatabaseSURPLUS / (DEFISIT),3000000,"APBD 
Belanja pemeliharaan aplikasi data komputer1 ls x 3.000.000,00 = 3.000.000,00 "
,,,
,SURPLUS / (DEFISIT),(11.858.809.850.00),
